discountoffer,total_products,avg_rating,total_reviews
"Rs. 3600 OFF",4,0,0
"Rs. 3310 OFF",4,0,0
"Rs. 690 OFF",4,0,0
"Rs. 1659 OFF",4,0,0
"Rs. 1688 OFF",4,0,0
"Rs. 1925 OFF",4,0,0
"Rs. 363 OFF",4,0,0
"Rs. 625 OFF",4,0,0
"Rs. 1325 OFF",4,0,0
"Rs. 1331 OFF",3,4.17,518
"Rs. 196 OFF",3,4.27,486
"Rs. 189 OFF",3,4.2,311
"Rs. 58 OFF",3,4.5,262
"Rs. 1380 OFF",3,4.33,310
"Rs. 1169 OFF",3,4.17,324
"Rs. 1393 OFF",3,3.53,246
"Rs. 978 OFF",3,4.27,291
"Rs. 1673 OFF",3,3.93,271
"Rs. 67 OFF",3,4.37,254
"Rs. 1795 OFF",3,3.9,137
"Rs. 785 OFF",3,4.23,136
"Rs. 106 OFF",3,4.53,125
"Rs. 105 OFF",3,2.73,144
"Rs. 85 OFF",3,4.3,176
"Rs. 714 OFF",3,1.37,64
"Rs. 1352 OFF",3,4.3,79
" 49 % OFF",3,2.63,54
"Rs. 1831 OFF",3,2.1,70
"Rs. 15551 OFF",3,4.27,76
"Rs. 3401 OFF",3,2.53,37
"Rs. 3050 OFF",3,2.93,40
"Rs. 1849 OFF",3,1.47,30
"Rs. 1164 OFF",3,2.8,38
"Rs. 2540 OFF",3,1.23,29
"Rs. 698 OFF",3,1.5,24
"Rs. 1036 OFF",3,1.27,20
"Rs. 626 OFF",3,2.5,23
